,sentence,location_list,type_list,error_list
7895,有时候他想起高山的生活，要去看一看，可一次也没去过，天天忙忙碌[B禄]碌[B禄]地生活。,"d.t.u.d.c.a.s.t.Sentence(begin=301, end=345)",0,0
7896,第二个和尚成{CC当}了个艺人，也受到人们的欢迎。,"d.t.u.d.c.a.s.t.Sentence(begin=345, end=370)",0,0
7897,不过有一天认识{CQ了}一个漂亮的女人，跟她去{CQ了}{CJ-zy很}远的地方开始{CJ-sy说}相声。,"d.t.u.d.c.a.s.t.Sentence(begin=370, end=423)",0,0
7898,这{CD个}也许相声的起源{CJs}。,"d.t.u.d.c.a.s.t.Sentence(begin=423, end=442)",0,0
7899,第三个和尚成{CC当}了算命师傅。,"d.t.u.d.c.a.s.t.Sentence(begin=442, end=459)",0,0
7900,他{CJ+zy本来}{CQ算命}很便宜，说得很{CC太}随便，可是人们愚昧[BQ，]很相信他。,"d.t.u.d.c.a.s.t.Sentence(begin=459, end=506)",0,0
7901,他，{CQ在}三个和尚当中，赚了最多的钱。,"d.t.u.d.c.a.s.t.Sentence(begin=506, end=527)",0,0
7902,反正，他们{CQ之中}{CJ+zy并}没有适合{CJ-sy当}和尚{CQ的}了。,"d.t.u.d.c.a.s.t.Sentence(begin=527, end=567)",1,{CJ+zy并}
7903,"(105D)(151Z)""}","d.t.u.d.c.a.s.t.Sentence(begin=567, end=581)",0,0
7904,关于用自然之声取代噪声的建议{CD随}生[D生]活水平的提高，科学技术的发达，{CD但是}给人们的生活带来了不少麻烦。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=59)",1,{CD但是}
7905,特别是在人们日常生活中经常听到各种各样的噪声。,"d.t.u.d.c.a.s.t.Sentence(begin=59, end=82)",0,0
7906,我觉得作为现代人，这些是不可避[B必]免的事情，重要的是我们应该怎样接受这样的噪声。,"d.t.u.d.c.a.s.t.Sentence(begin=82, end=124)",0,0
7907,如今，每个家庭都有属于自己的车，但是，许多人为了自己车的安全设置{CC设备}防盗铃。,"d.t.u.d.c.a.s.t.Sentence(begin=124, end=166)",0,0
7908,晚上，一旦开始弄响{CC呤响}防盗铃，就会妨碍{CC障碍}很多家庭的体息。,"d.t.u.d.c.a.s.t.Sentence(begin=166, end=203)",0,0
7909,还有一个例[B列]子，在街头上总是堵车时，司机们动不动就弄出{CC发出}刺耳的汽车喇叭声，让人们觉得头痛。,"d.t.u.d.c.a.s.t.Sentence(begin=203, end=256)",0,0
7910,但是，我们反过来想一想吧。,"d.t.u.d.c.a.s.t.Sentence(begin=256, end=269)",0,0
7911,假如你一个人{CD哨}住在一个岛的话，不知道从哪儿来的声音，但是，你突然听见大海的波涛声，让你再也不觉得孤独。,"d.t.u.d.c.a.s.t.Sentence(begin=269, end=324)",0,0
7912,你是不是觉得奇怪{CD吧}？,"d.t.u.d.c.a.s.t.Sentence(begin=324, end=338)",0,0
7913,这个人怎么不知道这种声音是大海的波涛声，他不是傻瓜吗？,"d.t.u.d.c.a.s.t.Sentence(begin=338, end=365)",0,0
7914,但是，我不以为然。,"d.t.u.d.c.a.s.t.Sentence(begin=365, end=374)",0,0
7915,在生活当中，我们有{CD的}时会遇到让人觉得新鲜的事。,"d.t.u.d.c.a.s.t.Sentence(begin=374, end=401)",0,0
7916,但是，令人愤憾的是很少发生这样的事。,"d.t.u.d.c.a.s.t.Sentence(begin=401, end=419)",0,0
7917,我们不知不觉地忽视在我们周围发生的很多事情，并不知道这些事儿对自己多么重要。,"d.t.u.d.c.a.s.t.Sentence(begin=419, end=457)",0,0
7918,我认为如果每个人改变自己的固定观念，对待很多人或{CD都}事情的话，比如说汽车的喇叭声，恼人的电话铃声，就会换成大海的波涛声，会换成小河的流水声。,"d.t.u.d.c.a.s.t.Sentence(begin=457, end=530)",0,0
7919,"（153Z）（152L）""}","d.t.u.d.c.a.s.t.Sentence(begin=530, end=544)",0,0
7920,现代年青[B请]人常常跟父母看同一个现象，但是他们觉得意见大多[B都]数[F數]不一样。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=44)",0,0
7921,为什么？,"d.t.u.d.c.a.s.t.Sentence(begin=44, end=48)",0,0
7922,就是代沟的问[B间]题。,"d.t.u.d.c.a.s.t.Sentence(begin=48, end=60)",0,0
7923,那用什么办法可以解决代沟{CJ-zxy问题}呢？,"d.t.u.d.c.a.s.t.Sentence(begin=60, end=84)",0,0
7924,第一，谈话。,"d.t.u.d.c.a.s.t.Sentence(begin=84, end=90)",0,0
7925,现在父母为了家庭生活忙得不得了，所以跟孩子{CC2自己人}谈话的机会越来越少。,"d.t.u.d.c.a.s.t.Sentence(begin=90, end=129)",0,0
7926,孩子们也一样的情况{CJs}。,"d.t.u.d.c.a.s.t.Sentence(begin=129, end=144)",0,0
7927,学校的功课不算少，{CD还有}回家以后，{CQ还要}上补[F補]习班{CD里}学其他的艺术方面的{CJ-zxy内容}。,"d.t.u.d.c.a.s.t.Sentence(begin=144, end=203)",0,0
7928,因此父母应该找个时间跟自己的孩子谈话。,"d.t.u.d.c.a.s.t.Sentence(begin=203, end=222)",0,0
7929,[BC，]无论交朋友[BD，]{CQ还是}性爱的问题也{CJ-zy都}跟父母谈{CC1谈话}的话，可以减[F減]少代沟问题[F題]。,"d.t.u.d.c.a.s.t.Sentence(begin=222, end=288)",1,{CQ还是}
7930,第二，了解。,"d.t.u.d.c.a.s.t.Sentence(begin=288, end=294)",0,0
7931,父母努力想了解孩子们的立场，孩子们也努力想了解自己父母的立场。,"d.t.u.d.c.a.s.t.Sentence(begin=294, end=325)",0,0
7932,那很{CC好}不容易。,"d.t.u.d.c.a.s.t.Sentence(begin=325, end=336)",0,0
7933,因为工作的立场跟念书的立场差很远。,"d.t.u.d.c.a.s.t.Sentence(begin=336, end=353)",0,0
7934,但我们可以用大众[F眾]媒体了解{CJX}多一点儿双方的立场。,"d.t.u.d.c.a.s.t.Sentence(begin=353, end=384)",0,0
7935,大家一齐努力的话，可以减[F減]少代沟问题。,"d.t.u.d.c.a.s.t.Sentence(begin=384, end=406)",0,0
7936,第三，开放的思想{CC思考}。,"d.t.u.d.c.a.s.t.Sentence(begin=406, end=421)",0,0
7937,年纪越大越保守，如果一个人变得{CC变成}保守的话，不可能接受其他人的意见和想法。,"d.t.u.d.c.a.s.t.Sentence(begin=421, end=462)",0,0
7938,所以无论父母还是{CC2跟}孩子[BQ、]长[F長]辈还是{CC2跟}后辈[BQ，]{CJ+sy是想}开放的思想{CC思考}的话{CJy}，可以减[F減]少一点儿代沟问题。,"d.t.u.d.c.a.s.t.Sentence(begin=462, end=548)",1,{CC2跟}
7939,总的来说{CC结论来说}，双方{CC2双方面}常愿意谈话、[BC，]想了解{CJ-by对方}、[BC，]还有{CJ+sy保持}开放的思想{CC思考}的话，将[F將]来我们的社会不{CQ会}常出现{CC提出}代沟的问题了。,"d.t.u.d.c.a.s.t.Sentence(begin=548, end=658)",1,{CC结论来说}
7940,前辈{CC先辈}们和后辈们请{CC1应该}牢记上面提出的三个方法吧。,"d.t.u.d.c.a.s.t.Sentence(begin=658, end=692)",0,0
7941,"(105D)(151Z)""}","d.t.u.d.c.a.s.t.Sentence(begin=692, end=706)",0,0
7942,记对我[C]影响最大的一个人记[C]得小时候，我[C]常常听同学们说他妈妈怎[C]样要求他啦，他妈妈经常[C]打他啦，还[C]有的说我[C]爸爸很凶啦。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=76)",0,0
7943,这[C]些都是小时候常常谈到的话题。,"d.t.u.d.c.a.s.t.Sentence(begin=76, end=94)",0,0
7944,但对{CC1对于}我[C]来说，对我[C]影响最大的还[C]是我奶奶。,"d.t.u.d.c.a.s.t.Sentence(begin=94, end=129)",0,0
7945,在我[C]们兄弟姐妹中，我[C]是最安静的。,"d.t.u.d.c.a.s.t.Sentence(begin=129, end=151)",0,0
7946,一放学回家我[C]就会坐[B座]在奶奶旁[B膀]边，一边看她织毛衣一边听她讲故事。,"d.t.u.d.c.a.s.t.Sentence(begin=151, end=192)",0,0
7947,她老人家不时地教导我[C]{CD关于}道[C]德[C]，礼貌，做人的原则等等。,"d.t.u.d.c.a.s.t.Sentence(begin=192, end=231)",0,0
7948,{CJ+zhuy我}[C]长大了以后，我[C]就到奶奶的书店帮她卖书。,"d.t.u.d.c.a.s.t.Sentence(begin=231, end=266)",0,0
7949,由于我还[C]年青不懂事，{CQ所以}常常犯错误，她就骂我并教导我[C]应该{CJ-zy怎么}做{CD的}事。,"d.t.u.d.c.a.s.t.Sentence(begin=266, end=321)",1,{CQ所以}
7950,我[C]高中毕业以后[B扣]，要进[C]大学，我[C]本人喜欢电脑[BQ，]于是我[C]想[C]选[C]电脑系，但我[C]爸爸不同意[C]。,"d.t.u.d.c.a.s.t.Sentence(begin=321, end=391)",0,0
7951,他希望我当个医生。,"d.t.u.d.c.a.s.t.Sentence(begin=391, end=400)",0,0
7952,我[C]那时候真不知怎么办才好，听爸爸的话还[C]是选[C]择自己的理想[C]？,"d.t.u.d.c.a.s.t.Sentence(begin=400, end=440)",0,0
7953,[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=440, end=445)",0,0
7954,奶奶给了我很大的鼓励和[C]支持。,"d.t.u.d.c.a.s.t.Sentence(begin=445, end=462)",0,0
7955,她认为我喜欢哪[B那]一种应该由我[C]自己来决定不要为了爸爸而改变主意[B义]。,"d.t.u.d.c.a.s.t.Sentence(begin=462, end=503)",0,0
7956,最后[L]我[C]还[C]是选[C]了电脑系。,"d.t.u.d.c.a.s.t.Sentence(begin=503, end=526)",0,0
7957,所以[L]我[C]自己[C]觉得奶奶{CJ-sy是}对我[C]影响最大的人。,"d.t.u.d.c.a.s.t.Sentence(begin=526, end=564)",0,0
7958,从小到大她不停{CC不时}地指导[C]我[C]。,"d.t.u.d.c.a.s.t.Sentence(begin=564, end=588)",0,0
7959,"（114F）(150W)""}","d.t.u.d.c.a.s.t.Sentence(begin=588, end=602)",0,0
7960,如何面对挫折我的人生的道路很坎坷，遇到了不少挫折和困难。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=28)",0,0
7961,每当我遇到挫折的时候，差一点儿哭出来。,"d.t.u.d.c.a.s.t.Sentence(begin=28, end=47)",0,0
7962,怎样面对挫折呢？,"d.t.u.d.c.a.s.t.Sentence(begin=47, end=55)",0,0
7963,那时候我就想起爸爸常提醒的一句话，不要怕。,"d.t.u.d.c.a.s.t.Sentence(begin=55, end=76)",0,0
7964,我{CJ-zy就}鼓起勇气从容不迫地面对挫折。,"d.t.u.d.c.a.s.t.Sentence(begin=76, end=99)",1,{CJ-zy就}
7965,我大学毕业以后，就找工作，幸好在治药厂有熟人，在他的推荐{CC推选}下，我得到{CC得}了工作。,"d.t.u.d.c.a.s.t.Sentence(begin=99, end=147)",0,0
7966,我们一共有二十个人，我们分别在各个车间工作。,"d.t.u.d.c.a.s.t.Sentence(begin=147, end=169)",0,0
7967,我被分到药水车间，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=169, end=183)",0,0
7968,当初早在工作岗位的一些工人还欢迎我，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=183, end=206)",0,0
7969,后来他们对我的态度越来越坏。,"d.t.u.d.c.a.s.t.Sentence(begin=206, end=220)",0,0
7970,我{CJX}好象抢{CQ了}他们的饭碗似的。,"d.t.u.d.c.a.s.t.Sentence(begin=220, end=242)",0,0
7971,因为每个月发红利的时候是按人数平均分的，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=242, end=267)",0,0
7972,多了一个我就少了他们的份儿。,"d.t.u.d.c.a.s.t.Sentence(begin=267, end=281)",0,0
7973,他们对我凶而野蛮，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=281, end=295)",0,0
7974,我在打扫车间的时候他们故意扔垃圾、吐痰。,"d.t.u.d.c.a.s.t.Sentence(begin=295, end=315)",0,0
7975,我在抓药的时候，在我旁边闹。,"d.t.u.d.c.a.s.t.Sentence(begin=315, end=329)",0,0
7976,我一边向领导报告，一边向他们解释。,"d.t.u.d.c.a.s.t.Sentence(begin=329, end=346)",0,0
7977,虽然红利少了一点[BQ，]可是他们得到{CQ了}我的帮助，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=346, end=380)",0,0
7978,所以不能忽略我的劳动力。,"d.t.u.d.c.a.s.t.Sentence(begin=380, end=392)",0,0
7979,由于我技术，药的质量有了提高，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=392, end=412)",0,0
7980,有些配药的方式，我给他们减化了。,"d.t.u.d.c.a.s.t.Sentence(begin=412, end=428)",0,0
7981,他们渐渐地理解了我的价值。,"d.t.u.d.c.a.s.t.Sentence(begin=428, end=441)",0,0
7982,小时候爸爸常常这样讲，失败是成功之母。,"d.t.u.d.c.a.s.t.Sentence(begin=441, end=460)",0,0
7983,遇到失败、困难的时候不要吓倒，不要哭，要坚强，要冷静地从失败中找出教训。,"d.t.u.d.c.a.s.t.Sentence(begin=460, end=496)",0,0
7984,人生的道路很长，只要有这样的精神，就一定会“百战百胜{CC成仗百胜}”。,"d.t.u.d.c.a.s.t.Sentence(begin=496, end=532)",0,0
7985,爸爸的这段话深深地刻在我的心上。,"d.t.u.d.c.a.s.t.Sentence(begin=532, end=548)",0,0
7986,坚强、冷静就是面对挫折的唯一方法。,"d.t.u.d.c.a.s.t.Sentence(begin=548, end=565)",0,0
7987,"（155Z）(155J)""}","d.t.u.d.c.a.s.t.Sentence(begin=565, end=579)",0,0
7988,学习汉语的苦与乐世界上有许多种语言，例[B烈]如：[BC、]英语、德语、苏联语、汉语等等[BD……]。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=51)",0,0
7989,在这些语言当中，汉语是一个比较重要的语言，为什么我这样说呢？,"d.t.u.d.c.a.s.t.Sentence(begin=51, end=81)",0,0
7990,[BD，]在联合国用的五种语言中{CC1之一}，就{CJ+sy是}有汉语在其{CC之}中，{CD所以}这就是它的重要之点{CC主要重点}。,"d.t.u.d.c.a.s.t.Sentence(begin=81, end=150)",0,0
7991,学习汉语的人{CC1人们}{CJ+sy有}不少，对外国人来说，是比较困难{CJsd}。,"d.t.u.d.c.a.s.t.Sentence(begin=150, end=193)",0,0
7992,很多人认为，汉语的难点是在学的含义，而且每个字的读音，都有不同的读法{CJZR}[BQ。],"d.t.u.d.c.a.s.t.Sentence(begin=193, end=238)",0,0
7993,汉语的难点不只是这些，它还可组成[BD了]一种独特的词组{CC组词}，就是“成语”，成语含义很深刻[BQ，]虽然只是由{CC以}几个字组成的，但是它已包含{CC2包}了中国的文化与历[F歷]史在里面。,"d.t.u.d.c.a.s.t.Sentence(begin=238, end=338)",1,{CC以}
7994,另一方面，也有不少人觉[C]得，{CD越}学汉语越深{CD的}，越{CC更}有趣。,"d.t.u.d.c.a.s.t.Sentence(begin=338, end=379)",0,0
7995,由于汉语里边{CQ的}内容包含{CC具有}了中国的历[C]吏、故事、神话等等[BD……]，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=379, end=429)",0,0
7996,这已能使人们{CD的}兴奋{CC兴趣}与快乐了{CC的}。,"d.t.u.d.c.a.s.t.Sentence(begin=429, end=458)",0,0
7997,"（102Y）(155J)""}","d.t.u.d.c.a.s.t.Sentence(begin=458, end=472)",0,0
7998,在变[F變]化多端的现[F現]代社会里[F裡]，父母和子女两[F兩]代往往会发[F發]生所谓[F謂]“代沟”问[F問]题。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=61)",0,0
7999,{CJ-zhuy这}是因为[F為]两[F兩]代人之间[F間]的价[F價]值观[F觀]不同而产[F產]生的。,"d.t.u.d.c.a.s.t.Sentence(begin=61, end=114)",0,0
8000,那么，要如何解[C]决[F決]“代沟”问[F問]题[F題]？,"d.t.u.d.c.a.s.t.Sentence(begin=114, end=144)",0,0
8001,首先，我们[F們]要在两[F兩]代人之间[F間]找出共同的嗜好。,"d.t.u.d.c.a.s.t.Sentence(begin=144, end=176)",0,0
8002,例如，老少皆益的游[F遊]戏[F戯]等等。,"d.t.u.d.c.a.s.t.Sentence(begin=176, end=197)",0,0
8003,然后[F後]共享那嗜好。,"d.t.u.d.c.a.s.t.Sentence(begin=197, end=209)",0,0
8004,其次，我们[F們]应[F應]多与[F與]长[F長]辈[F輩]谈[F談]话[F話]，了解[C]他们[F們]的想法。,"d.t.u.d.c.a.s.t.Sentence(begin=209, end=265)",0,0
8005,而如果和长[F長]辈[F輩]有意见[F見]冲[F衝]突，我们[F們]应[F應]多礼[F禮]让[F讓]他们[F們]。,"d.t.u.d.c.a.s.t.Sentence(begin=265, end=322)",0,0
8006,从{CC以}长[F長]辈[F輩]的角[C]度来看，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=322, end=352)",1,{CC以}
8007,他们[F們]可能认[F認]为[F為]我们[F們]没有礼[F禮]貌[C]，不听[F聽]话[F話]，可是最近的年轻[F輕]人的自我{CC自己}主张[F張]很强[F強]，希望长[F長]辈[F輩]们[F們]多多理解[C]我们[F們]下一代的人。,"d.t.u.d.c.a.s.t.Sentence(begin=352, end=470)",0,0
8008,解[C]决[F決]“代沟”问[F問]题[F題]，最好的方法就是彼此沟[F溝]通，多互相了解[C]。,"d.t.u.d.c.a.s.t.Sentence(begin=470, end=519)",0,0
8009,但，仅仅如此的话[F話]是不能完全解[C]决[F決]问[F問]题[F題]的。,"d.t.u.d.c.a.s.t.Sentence(begin=519, end=557)",0,0
8010,也要有社会方面的改革，政府应[C]多{CC建设[F設]}文化中心等等的社会福利设[F設]施。,"d.t.u.d.c.a.s.t.Sentence(begin=557, end=603)",0,0
8011,以此来理解[C]两[F兩]代人之间[F間]的想法。,"d.t.u.d.c.a.s.t.Sentence(begin=603, end=628)",0,0
8012,凡事[B是]要多帮[F幫]别人想一想，这样的话[F話]，“代沟”问[F問]题[F題]也[C]不会出现[F現]了，这都要靠我们[F們]的努力才行。,"d.t.u.d.c.a.s.t.Sentence(begin=628, end=700)",0,0
8013,"(106C)(151Z)""}","d.t.u.d.c.a.s.t.Sentence(begin=700, end=714)",0,0
8014,[BD《]记对我影响最大的一个人[BD》]对我影响最大的人是谁？,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=32)",0,0
8015,这是很难说的。,"d.t.u.d.c.a.s.t.Sentence(begin=32, end=39)",0,0
8016,因为现在想一想，太多人想起来{CJX}。,"d.t.u.d.c.a.s.t.Sentence(begin=39, end=59)",0,0
8017,一个人的成长[C]过程中，应该受到很多人、书的影响{CC教导}。,"d.t.u.d.c.a.s.t.Sentence(begin=59, end=91)",0,0
8018,我呢？,"d.t.u.d.c.a.s.t.Sentence(begin=91, end=94)",0,0
8019,也不例[C]外。,"d.t.u.d.c.a.s.t.Sentence(begin=94, end=102)",0,0
8020,我想谈谈{CC回答}我的父母，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=102, end=122)",0,0
8021,谈父母对我{CQ的}影[C]响{CJX}以前，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=122, end=150)",0,0
8022,首先得说我这个人的现在{CQ的}情况。,"d.t.u.d.c.a.s.t.Sentence(begin=150, end=169)",0,0
8023,我是已经毕业了{CQ的}研究生。,"d.t.u.d.c.a.s.t.Sentence(begin=169, end=185)",0,0
8024,性格柔和{CC温暖[C]}，爱[C]交朋友。,"d.t.u.d.c.a.s.t.Sentence(begin=185, end=207)",0,0
8025,我父母[C]常常对我说：“希[B喜]望什么，努[C]力做什么。”,"d.t.u.d.c.a.s.t.Sentence(begin=207, end=239)",0,0
8026,这种鼓励[B历]，对我来说[BQ，]干什么{CQ时}常常带有自信感，责任感。,"d.t.u.d.c.a.s.t.Sentence(begin=239, end=277)",0,0
8027,我的父母[C]虽然[C]文化水[C]平不那么高，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=277, end=306)",0,0
8028,可是那{CD个}一段时间没办法了。,"d.t.u.d.c.a.s.t.Sentence(begin=306, end=323)",0,0
8029,刚刚结束了朝鲜[C]战[F戰]争，他们的生活很难过。,"d.t.u.d.c.a.s.t.Sentence(begin=323, end=349)",0,0
8030,吃的，穿的东西都没有了。,"d.t.u.d.c.a.s.t.Sentence(begin=349, end=361)",0,0
8031,所以他们对我们兄弟的期望{CC期[C]待}特别大{CC多}。,"d.t.u.d.c.a.s.t.Sentence(begin=361, end=391)",0,0
8032,他们以前很想[C]念[C]书，好像他们希望{CC愿[C]意[C]}把他们的遗[C]憾[C]{CJba}，通过我们子女可以化解{CC解[C]结}。,"d.t.u.d.c.a.s.t.Sentence(begin=391, end=463)",0,0
8033,对于{CC可是}这件事情我现在能了解，而且我很感[C]谢[C]他们。,"d.t.u.d.c.a.s.t.Sentence(begin=463, end=497)",1,{CC可是}
8034,他们从来没强迫{CC强[C]厌}{CQ过}我。,"d.t.u.d.c.a.s.t.Sentence(begin=497, end=520)",0,0
8035,因为{CC为了}我自己能觉察{CC2觉}到周围{CC旁边}{CQ的}帮[C]助。,"d.t.u.d.c.a.s.t.Sentence(begin=520, end=560)",1,{CC为了}
8036,特别我对我母[C]亲[C]有说不出来的感情[BQ，]作为{CC2以}同[C]样的{CD多}一个女人[BQ，]她是向前{CJX}我的标准。,"d.t.u.d.c.a.s.t.Sentence(begin=560, end=628)",0,0
8037,我真爱他们，还有很感[C]谢[C]他们对我的影响。,"d.t.u.d.c.a.s.t.Sentence(begin=628, end=653)",0,0
8038,"（126Z）（101F）""}","d.t.u.d.c.a.s.t.Sentence(begin=653, end=667)",0,0
8039,我的家乡是一个乡村，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=0, end=15)",0,0
8040,所以我从小时候[L]在家乡的山地和河边{CJX}常常玩儿{CD过}。,"d.t.u.d.c.a.s.t.Sentence(begin=15, end=49)",0,0
8041,我的家乡的大自然很美丽而且现在也没有发生过很严重的污染问[F問]题。,"d.t.u.d.c.a.s.t.Sentence(begin=49, end=83)",0,0
8042,在那儿我长大了。,"d.t.u.d.c.a.s.t.Sentence(begin=83, end=91)",0,0
8043,长大以后，我去了大城市，在那儿找了个工作。,"d.t.u.d.c.a.s.t.Sentence(begin=91, end=112)",0,0
8044,我的工作太忙了，所以每逢周末，我为了轻松一下去街上逛逛。,"d.t.u.d.c.a.s.t.Sentence(begin=112, end=140)",0,0
8045,然而，我在大城市里从来找不到能轻松一下的地方。,"d.t.u.d.c.a.s.t.Sentence(begin=140, end=163)",0,0
8046,就是花很多钱，也不能找到{CD了}。,"d.t.u.d.c.a.s.t.Sentence(begin=163, end=181)",0,0
8047,以前我觉得奇怪。,"d.t.u.d.c.a.s.t.Sentence(begin=181, end=189)",0,0
8048,我小时候常常想我长大以后一定去大城市生活。,"d.t.u.d.c.a.s.t.Sentence(begin=189, end=210)",0,0
8049,那是为什么呢？,"d.t.u.d.c.a.s.t.Sentence(begin=210, end=217)",0,0
8050,我以前以为农村的生活不如大城市的。,"d.t.u.d.c.a.s.t.Sentence(begin=217, end=234)",0,0
8051,在农村没有什么好玩儿的东西、地方。,"d.t.u.d.c.a.s.t.Sentence(begin=234, end=251)",0,0
8052,大概在农村生活的年轻人的大多数这样想{CD着}。,"d.t.u.d.c.a.s.t.Sentence(begin=251, end=275)",0,0
8053,不过，我也想不到，其实大城市的生活也是不太理想的。,"d.t.u.d.c.a.s.t.Sentence(begin=275, end=300)",0,0
8054,那么现在我的看法怎么样？,"d.t.u.d.c.a.s.t.Sentence(begin=300, end=312)",0,0
8055,现在我觉得乡村的生活不如大城市的，这也许是我一个人的看法。,"d.t.u.d.c.a.s.t.Sentence(begin=312, end=341)",0,0
8056,别人的看法我不知道。,"d.t.u.d.c.a.s.t.Sentence(begin=341, end=351)",0,0
8057,我的看法是这样：现在就是乡村，它的发展也越来越快。,"d.t.u.d.c.a.s.t.Sentence(begin=351, end=376)",0,0
8058,所以即使我们在农村生活，我们的生活很方便，而且为了人生活下去，我觉得最重要的条件之一就是大自然，如果没有大自然{CQ就}没有人类。,"d.t.u.d.c.a.s.t.Sentence(begin=376, end=441)",1,{CQ就}
8059,所以我觉得还是在我自己的家乡生活最好。,"d.t.u.d.c.a.s.t.Sentence(begin=441, end=460)",0,0
8060,"(152L)(153z)""}","d.t.u.d.c.a.s.t.Sentence(begin=460, end=474)",0,0
8061,对我影响最大的人对我影响最大的人是我爸爸。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=21)",0,0
8062,我家只有两个女孩儿，没有男孩儿。,"d.t.u.d.c.a.s.t.Sentence(begin=21, end=37)",0,0
8063,韩国人总是以为家里必须有男孩儿，可是，我妈妈生我以后不能再怀孕，普通的家长在这样的情况下{CQ往往}离婚或者跟别的女的生男孩子。,"d.t.u.d.c.a.s.t.Sentence(begin=37, end=101)",0,0
8064,听说中国也{CJX}古代跟我们一样重视男孩儿。,"d.t.u.d.c.a.s.t.Sentence(begin=101, end=124)",0,0
8065,可我爸爸绝[C]不是那样的人。,"d.t.u.d.c.a.s.t.Sentence(begin=124, end=139)",0,0
8066,反而从{CQ我}小时候{CQ就}代替身体不好的妈妈[L]照顾我们。,"d.t.u.d.c.a.s.t.Sentence(begin=139, end=172)",1,{CQ就}
8067,我们两个姐妹是爸爸{CD的}唯[B维]一的希望。,"d.t.u.d.c.a.s.t.Sentence(begin=172, end=196)",0,0
8068,我家不在{CC是}汉城[BQ，]我上学的时候，还没决定上那个地方的大学。,"d.t.u.d.c.a.s.t.Sentence(begin=196, end=232)",0,0
8069,因为姐姐已经上汉城的大学{CQ了}[BQ，]不在家。,"d.t.u.d.c.a.s.t.Sentence(begin=232, end=258)",0,0
8070,所以如果我也在汉城学习的话，家里只剩老两口。,"d.t.u.d.c.a.s.t.Sentence(begin=258, end=280)",0,0
8071,我很担心，还有妈也不愿[B原]意。,"d.t.u.d.c.a.s.t.Sentence(begin=280, end=297)",0,0
8072,她希望{CQ我}在家乡上大学[BQ，]不愿意{CQ我}去别的地方。,"d.t.u.d.c.a.s.t.Sentence(begin=297, end=330)",0,0
8073,可是我爸爸一言之下决定了让我去汉城。,"d.t.u.d.c.a.s.t.Sentence(begin=330, end=348)",0,0
8074,他说“无论男女都应该去更大的地方学习。,"d.t.u.d.c.a.s.t.Sentence(begin=348, end=367)",0,0
8075,我家关于钱方面没有问题。,"d.t.u.d.c.a.s.t.Sentence(begin=367, end=379)",0,0
8076,你去汉城学习吧。,"d.t.u.d.c.a.s.t.Sentence(begin=379, end=387)",0,0
8077,我在这儿好好儿地照顾你妈妈。,"d.t.u.d.c.a.s.t.Sentence(begin=387, end=401)",0,0
8078,不要担心。”,"d.t.u.d.c.a.s.t.Sentence(begin=401, end=407)",0,0
8079,所以我在汉城可以好好儿地学习了。,"d.t.u.d.c.a.s.t.Sentence(begin=407, end=423)",0,0
8080,我要来{CD到}中国的时候，爸爸又全心全意{CC全心}地同意我的决定{CC决心}。,"d.t.u.d.c.a.s.t.Sentence(begin=423, end=464)",0,0
8081,今天的我，如果没有爸爸话{CQ就}没有我。,"d.t.u.d.c.a.s.t.Sentence(begin=464, end=485)",1,{CQ就}
8082,我很感谢爸爸，应该努力学习报答{CC报恩}他。,"d.t.u.d.c.a.s.t.Sentence(begin=485, end=508)",0,0
8083,"（148L）(152L)""}","d.t.u.d.c.a.s.t.Sentence(begin=508, end=522)",0,0
8084,人是社会{CD之}动物。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=12)",0,0
8085,这是众所周知的事情。,"d.t.u.d.c.a.s.t.Sentence(begin=12, end=22)",0,0
8086,这意味着{CD人}一个人活不下去。,"d.t.u.d.c.a.s.t.Sentence(begin=22, end=39)",0,0
8087,因此有{CD个}人感到孤独时，心中想{CJ+buy到}[BQ：]若使别人在我身旁多好。,"d.t.u.d.c.a.s.t.Sentence(begin=39, end=82)",0,0
